Rank,City,Country,Religion,test
1,Caracas,Venezuela,Catholic
2,Pretoria,South Africa,Christian
3,Celaya,Mexico,Roman Catholicism
4,San Pedro Sula,Honduras,Roman Catholic
5,Port Moresby,Papua New Guinea,Roman Catholic
8,Kabul,Afghanistan,Islam
10,Natal,Brazil,Catholic
14,Port of Spain,Trinidad And Tobago,Hindu
15,Baltimore,MD,United States,Christian
17,Rosario,Argentina,Roman Catholic
20,Rockhampton,Australia,Christian
24,Kingston,Jamaica,Protestant
26,Bradford,United Kingdom,Christian
28,Lima,Peru,Christian
29,Guayaquil,Ecuador,Roman Catholic
32,San Salvador,El Salvador,Roman Catholic
33,Cali,Colombia,Roman Catholic
35,Windhoek,Namibia,Protestant
37,Santo Domingo,Dominican Republic,Roman Catholicism
39,Damascus,Syria,Muslim
40,Luanda,Angola,Christian
45,Lagos,Nigeria,Muslims
47,Nantes,France,Catholic
49,Manila,Philippines,Roman Catholic
50,Surrey,Canada,Christian
53,Almaty,Kazakhstan,Muslim
54,Male,Maldives,Islam
56,Dhaka,Bangladesh,Sunni Muslims
59,Catania,Italy,Roman Catholic
60,Kuala Lumpur,Malaysia,Islam
67,Tripoli,Libya,Sunni Muslims
78,Harare,Zimbabwe,Christian
83,Dar es Salaam,Tanzania,Christian
84,Ghaziabad,India,Hinduism
86,Santiago,Chile,Christian
94,Minsk,Belarus,Christian
98,Liege,Belgium,Christian
101,Malmo,Sweden,Lutheran
102,Athens,Greece,Greek Orthodox Church
107,Tehran,Iran,Muslim
109,Casablanca,Morocco,Sunni Muslim
110,San Jose,Costa Rica,Roman Catholic
111,Ulaanbaatar,Mongolia,Buddhist
121,Montevideo,Uruguay,Christian
128,Karachi,Pakistan,Islam
130,Algiers,Algeria,Islam
131,Ho Chi Minh City,Vietnam,Catholic
133,Phnom Penh,Cambodia,Buddhist
134,Jakarta,Indonesia,Muslim
184,Bali,Indonesia,Muslim
188,Istanbul,Turkey,Muslim
279,Lviv,Ukraine,Christian
320,Banja Luka,Bosnia and Herzegovina,Islam
387,Bergen,Norway,Christian
435,Tartu,Estonia,Christian
443,Munich,Germany,Christian
450,Taipei,Taiwan,Buddhism
452,Doha,Qatar,Muslims
